,title,video_id,Published At,Keyword,Likes,Comments,Views
1515,Things New Computer Science Students Need to Know,G6IN2UxMFpU,07-09-2020,computer science,7452.0,581.0,113080.0
1516,The Math Needed for Computer Science,eSFA1Fp8jcU,21-04-2018,computer science,59163.0,1583.0,1754969.0
1517,The Man Who Revolutionized Computer Science With Math,rkZzg7Vowao,17-05-2022,computer science,62172.0,1458.0,1345420.0
1518,Computer science education: why does it suck so much and what if it didn’t? | Ashley Gavin | TEDxNYU,5jmN_tBS0t4,21-07-2015,computer science,11911.0,1388.0,610308.0
1519,Should YOU Major In Computer Science? (2022),FPu2S_qEN5s,27-08-2019,computer science,16747.0,1532.0,525081.0
1520,Intro to Algorithms: Crash Course Computer Science #13,rL8X2mlNHPM,24-05-2017,computer science,28944.0,775.0,1515048.0
1521,What You Need to Succeed in Computer Science,D1qnuKSfPOg,24-11-2020,computer science,4849.0,197.0,82596.0
1522,Introduction to Graph Theory: A Computer Science Perspective,LFKZLXVO-Dg,14-06-2020,computer science,13406.0,314.0,362229.0
1523,Day in the Life of a Computer Science Student at Waterloo,M85EcbfhH9A,12-08-2022,computer science,1149.0,146.0,17156.0
1524,The Computer Science Iceberg Explained (Part 1),H565avw-ufk,06-02-2022,computer science,27889.0,962.0,437660.0
1525,"CS50 FULL REVIEW  - Best Course to Learn Computer Science in 2022? (edX, Harvard)",-Zj1kepwRuw,08-02-2022,computer science,10409.0,385.0,199395.0
1526,Computer Science isn&#39;t programming! // How to become a Master Programmer // Featuring Dr Chuck,z3o6yEzcnLc,10-04-2022,computer science,10292.0,653.0,327463.0
1527,Computer Science Terminology,LtoBGQPuu1c,08-11-2018,computer science,5213.0,145.0,135056.0
1528,My HONEST College Advice For Computer Science Majors // as a senior computer science student,bJCzuGbg4s4,27-12-2021,computer science,909.0,32.0,24612.0
1529,Representing Numbers and Letters with Binary: Crash Course Computer Science #4,1GSjbWt0c9M,15-03-2017,computer science,30095.0,1186.0,1530735.0
1530,Registers and RAM: Crash Course Computer Science #6,fpnE6UAfbtU,29-03-2017,computer science,37041.0,1190.0,1672442.0
1531,Is Computer Science Right for You?,ReQdX04S00w,24-02-2022,computer science,61424.0,692.0,872859.0
1532,Everything You Need to Know as a Computer Science Student,aDfqRbGk_Yk,22-11-2019,computer science,6557.0,215.0,179728.0
1533,The Traveling Salesman Problem: When Good Enough Beats Perfect,GiDsjIBOVoA,26-07-2022,computer science,7812.0,408.0,143959.0
1534,Online Computer Science Bachelor&#39;s - Colorado State University,ec5vegLMkTM,20-01-2021,computer science,32.0,5.0,83073.0
